1,Winter is Coming,1,1,"King Robert Baratheon majestically arrives in Winterfell, the home of his old and trusted friend, Eddard Stark, Warden of the North, with an important offer. On the eastern continent, the exiled Princess Daenerys Targaryen marries Khal Drogo, a warlord of the Dothraki with tens of thousands of warriors at his command. Her brother, Viserys, callously plans to win Drogo's allegiance with the marriage, so that he may return home to Westeros and reclaim the Iron Throne, which was seized by force from his father by Robert. In the frozen lands, beyond the Wall, the wildlings are on the move to the alarm of the Night's Watch. But something else is stirring even farther north. "
2,The Kingsroad,1,2,"Jon Snow and Tyrion Lannister depart Winterfell for the Wall, and along the way Jon discovers his ideas of the Night's Watch may not match the reality. Eddard Stark and his daughters depart for King's Landing, but an incident on the Kingsroad threatens to drive a wedge between him and King Robert. "
3,Lord Snow,1,3,"Jon Snow attempts to find his footing at Castle Black amidst hostility and suspicion from his fellow members of the Night's Watch. Eddard Stark and his daughters arrive at King's Landing. Catelyn renews an old friendship with a member of the court, while Daenerys and Viserys journey onwards to the Dothraki capital of Vaes Dothrak. "
4,Cripples-Bastards and Broken Things,1,4,"Tyrion Lannister stops at Winterfell on his way back to King's Landing and gets a frosty reception from Robb Stark, despite an act of kindness for Bran. Samwell Tarly joins the Night's Watch, and Jon becomes his friend and protector. Daenerys arrives at Vaes Dothrak and finally stands up to Viserys. Eddard Stark continues to investigate the death of Jon Arryn. King Robert Baratheon hosts a grand tourney for Eddard's investiture as Hand of the King, to Ned's discomfort. Catelyn and Ser Rodrik Cassel stop at the Crossroads Inn. "
5,The Wolf and the Lion,1,5,"Tyrion's predicament becomes common knowledge in King's Landing, making life difficult for Eddard Stark. Ned's position is already precarious due to a disagreement with King Robert Baratheon over plans to assassinate Daenerys before she can rally the Dothraki to invade Westeros. In the Eyrie, Catelyn is shocked by her sister Lysa's paranoia and distrust. "
6,A Golden Crown,1,6,"In Vaes Dothrak, Viserys' frustrations at the constant delays before he can receive his crown boil over. In King's Landing, while King Robert goes on a hunt, Eddard issues a decree that could splinter the Seven Kingdoms and makes a startling discovery about the heirs to the throne. In the Eyrie, Tyrion Lannister wagers everything on the greed of the sellsword Bronn. "
7,You Win or You Die,1,7,"Eddard Stark's investigations in King's Landing reach a dramatic climax as he confronts Queen Cersei with his findings. Tywin Lannister prepares his forces for battle and gives Jaime an important assignment. Ser Jorah Mormont's actions inspire Khal Drogo to make an important vow. Jon Snow finally takes his place amongst the Night's Watch. "
8,The Pointy End,1,8,"In the aftermath of Ned's capture, Syrio and Arya face off against Lannister guards, while Cersei manipulates Sansa to her own ends. Robb rallies his father's northern bannermen against Tywin Lannister and heads south to war. Tyrion forms an uneasy alliance with the hill tribes and reunites with his father. Jon lashes out at Ser Alliser Thorne and battles a mysterious attacker from beyond the Wall. Dany is forced to reconcile her desire to conquer Westeros with Drogo's savagery after the Dothraki raid a peaceful village. "
9,Baelor,1,9,"With Sansa's life in danger, Ned makes a fateful decision. Catelyn brokers an unsavory deal with the slippery Walder Frey. Tyrion acquires a mistress and is forced by his father to fight on the front lines. Robb wins his first major victory and captures a prized prisoner. Jon is rewarded for his valor and discovers a dark secret about Maester Aemon. As Khal Drogo's wound festers, Daenerys defies his bloodrider Qotho and puts her trust in the enslaved witch Mirri Maz Duur. "
10,Fire and Blood,1,10,"As tragic news spreads across the Seven Kingdoms, Bran and Rickon share a prophetic dream, Catelyn interrogates Jaime about her son's fall, and Robb's destiny is forever changed. After a surprising decision by his father, Tyrion heads south. Arya assumes a new identity in an attempt to escape King's Landing, and Sansa is terrorized by Joffrey. At the Wall, Jon is forced to choose between the Night's Watch and the family he left behind. Across the sea, Dany pays a terrible price for her love, but finds new hope. "
