1,Robert,Baratheon,Usurper,Male,Faith of the Seven,Deceased,"Robert Baratheon is a major character in the first season. He is played by starring cast member Mark Addy, and debuts in the series premiere. Robert Baratheon was the ruler of the Seven Kingdoms, formally styled as Robert of the House Baratheon, the First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm. He took the throne through conquest in the war known as Robert's Rebellion. Robert was a great warrior in his youth. He killed Rhaegar Targaryen, Prince of Dragonstone, at the Battle of the Trident. After the war, Robert married Cersei Lannister to cement an alliance with House Lannister to hold the kingdoms together, but the marriage is loveless. Robert and Cersei have three children: Joffrey, Myrcella and Tommen. Unbeknown to Robert, all three were actually fathered by Cersei's twin brother, Jaime Lannister. Robert found the winning of his kingdom far more fulfilling than the running of it, and spent much of the next seventeen years whoring, drinking and hunting. So it is his small council that is delegated the tedious tasks of ruling. He is a childhood friend of Eddard Stark and considers him his true brother. He names Ned Hand of the King when the previous Hand dies in mysterious circumstances. Eddard launches an investigation and discovers that his predecessor was scrutinising the parentage of Cersei's children. Fearful of exposure, Cersei instructs Robert's squire, Lancel Lannister, to give him too much wine while hunting. Robert is fatally wounded by a boar and succumbs to his injuries soon afterwards. Robert names Eddard protector of the realm just before his death. Cersei then ignores the proclamation, has Eddard arrested, and seizes the throne for her son, Joffrey. The resulting dispute leads to the War of the Five Kings. "
2,Cersei,Lannister,,Female,Faith of the Seven,Alive,"Cersei Lannister is a major character in the first, second, third, fourth and fifth seasons. She is portrayed by starring cast member Lena Headey and debuts in the series premiere. Cersei is the widow of King Robert Baratheon and Queen Regent of the Seven Kingdoms. She installed her son Joffrey Baratheon on the Iron Throne under the false claim that he was a legitimate son from her marriage but he was actually the product of her incestuous relationship with her younger twin brother Ser Jaime Lannister. "
3,Tyrion,Lannister,Dwarf,Male,Faith of the Seven,Alive,"Tyrion Lannister is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Peter Dinklage and debuts in the series premiere. Tyrion Lannister is the youngest son of Lord Tywin Lannister and younger brother of Cersei and Jaime Lannister. A dwarf, he uses his wit and intellect to overcome the prejudice he faces. Tyrion is falsely accused of the attempted assassination of Bran Stark and taken captive by Catelyn Stark. Though he is eventually released after a trial by combat, his arrest triggers conflict between the Lannisters and the Starks, which escalates into full war after the death of King Robert and the arrest and execution of Eddard Stark. Tyrion is shortly after sent by his father to King's Landing to be acting Hand of the King to his newly crowned nephew Joffrey, with instructions to rein him in. With him he takes a prostitute named Shae whom he makes his mistress and comes to love, and Bronn, a fearsome sellsword who serves as his bodyguard and enforcer. Under difficult conditions, Tyrion holds the city together, strengthens and organizes the city's defenses, and makes an alliance with House Martell. He plays a vital role in the Crown's victory over Stannis Baratheon's forces during the Battle of Blackwater, and is wounded. Afterwards, Tyrion loses his position as Hand to his father. He remains an important player in the court, however, and is appointed Master of Coin and unwillingly married to Sansa Stark, considered the heiress to the North after the scattering of the Starks. When Joffrey is poisoned at his wedding feast, Cersei accuses Tyrion of his murder and Tyrion is put on trial. Realizing that the trial is a farce, Tyrion demands a trial by combat. However, his champion, Prince Oberyn, is brutally murdered by the Crown's champion Gregor Clegane, sentencing him to death. Before the sentence can be carried out, Jaime frees him. A vengeful Tyrion kills Shae and his father, then flees with Varys. "
4,Oberyn,Martell,The Viper,Male,Faith of the Seven,Deceased,"Oberyn Martell is a major character in the fourth season. He is portrayed by Pedro Pascal and first appears in ""Two Swords"". He's a member of House Martell, the ruling family of Dorne. Oberyn is well known for his fighting skills, passionate temper, and sexual appetites. Prince Oberyn, known as the Red Viper of Dorne, is the younger brother of Doran Martell, the Prince of Dorne, and the late Elia Martell, wife of Rhaegar Targaryen, the late Prince of Dragonstone and heir to the Iron Throne. Traveling to King's Landing to attend Joffrey's royal wedding in his brother's place, Oberyn's real motive is to seek revenge for the murder and rape of his sister by Tywin's bannerman, Gregor Clegane. Oberyn gets an opportunity to kill Clegane when he volunteers to champion Tyrion Lannister in a trial by combat; although he manages to severely wound and poison Clegane, he is ultimately killed. "
5,Jon,Snow,Bastard of Winterfell,Male,Old Gods of the Forest,Alive,"Jon Snow is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Kit Harington, and debuts in the series premiere. Jon is the bastard son of Lord Eddard Stark of Winterfell. He was a steward in the Night's Watch. Now serving on the Wall, Jon has found a place of acceptance where the circumstances of his birth are of little importance. He has a pet direwolf named Ghost, and wields the bastard sword, Longclaw, which was a gift from Lord Commander Jeor Mormont who sees Jon as a surrogate son. On a mission to discover King-Beyond-the-Wall Mance Rayder's plans, Jon infiltrated the wildling army. While learning their plans, Jon fell in love with a wildling woman, Ygritte, and began a relationship with her. Jon was forced to leave her behind after they scaled the Wall. Jon returned to his sworn brothers in the Watch and warned them about the coming invasion. After the Battle of Castle Black, the defense of which he helped lead, Jon was narrowly elected the 998th Lord Commander of the Night's Watch. "
6,Arya,Stark,Arry,Female,God of Death,Alive,"Arya Stark is a major character in the first, second, third, fourth and fifth seasons. She is played by starring cast member Maisie Williams, and debuts in the series premiere. Arya is the younger daughter of Lord Eddard Stark and his wife Lady Catelyn Stark. She is headstrong, fiercely independent, disdains traditional women's pursuits, and thus is often mistaken for a boy. She wields a sword named Needle, a gift from her half-brother, Jon Snow, and was trained in the Braavosi style of swordfighting while living in King's Landing. She adopted the direwolf Nymeria, but they have since been separated after Nymeria attacked Joffrey, forcing Arya to send her away in order to prevent her execution. When her father is betrayed and executed by Joffrey, Arya flees the capital with the help of the Night's Watch recruiter, Yoren, who gets her out of the city disguised as an orphan boy ""Arry"" and tries to take her home. However, she is taken prisoner by Ser Gregor Clegane's men and taken to Harrenhal, where she briefly serves as cupbearer to an unsuspecting Tywin Lannister. After escaping, she begins making her way towards Riverrun and is captured by the Brotherhood Without Banners and subsequently by Sandor Clegane. She serves as his prisoner, and they travel across Westeros as he unsuccessfully attempts to ransom her to various family members. In Clegane's company, Arya becomes increasingly hardened and brutalized, and personally kills a number of men. She compiles a list of people she intends to kill. After Clegane is gravely injured in a fight, she abandons him. Long since given up for dead by many in Westeros, Arya is now aboard a ship bound for Braavos. "
7,Eddard,Stark,Ned,Male,Old Gods of the Forest,Deceased,"Eddard Stark, also known by his friends and family as Ned, is a major character in the first season. He is played by starring cast member Sean Bean, and debuts in the series premiere. Eddard is the head of House Stark and Lord Paramount of the North. He is a dedicated husband and father, a loyal friend and an honorable lord. Eddard becomes Hand of the King to his lifelong friend, Robert Baratheon, when the previous hand dies in suspicious circumstances. He follows his predecessor's footsteps and uncovers an incestuous relationship between Queen, Cersei Lannister, and her brother, Ser Jaime Lannister. Robert dies after being injured while hunting and Eddard challenges the legitimacy of his successor, Joffrey Baratheon, but is betrayed by his political allies and arrested for treason. He confesses to the crime to protect his family, but is nevertheless executed due to Joffrey's impulsive sadism. The conflict between House Stark and House Lannister sets the stage for the War of the Five Kings. "
8,Daenerys,Targaryen,"Stormborn-Mother of Dragons",Female,,Alive,"Daenerys Targaryen, sometimes called Dany by her brother Viserys, is a major character in the first, second, third, fourth and fifth seasons. She is played by starring cast member Emilia Clarke, and debuts in the series premiere. She is the only surviving child of King Aerys II Targaryen, who was ousted from the Iron Throne during Robert's Rebellion. Daenerys's mother was sent to safety on Dragonstone island just before the Sack of King's Landing, and died giving birth to her during a great storm which wrecked the remaining Targaryen fleet at anchor, earning her the sobriquet Daenerys Stormborn. She lives in exile in Essos. Daenerys was sold into marriage to the Dothraki Khal Drogo; the two gradually fell in love, but she lost her husband and stillborn son to the manipulations of the vengeful maegi Mirri Maz Duur. Her marriage to Drogo and subsequent interaction with the Dothraki people gives her the confidence and strength to lead and the belief in herself as the rightful queen of the Seven Kingdoms. Following the death of her brother Viserys, Daenerys was left as the last Targaryen, and intends to claim the Iron Throne as her birthright. She formally styles herself as Queen Daenerys of House Targaryen, First of Her Name. She hatched three dragons by having her petrified dragon eggs placed on Drogo's funeral pyre, before she walked into the flames to claim them. Her dragons are the first seen in the world for hundreds of years, earning her the sobriquet Mother of Dragons. During her campaign in Slaver's Bay, she is introduced as Daenerys Stormborn of the House Targaryen, the First of Her Name, the Unburnt, Queen of Meereen, Queen of the Andals and the Rhoynar and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons. She has proven herself as a leader and a conqueror through her swift and (for the most part) merciful conquests of the Free Cities of Astapor and Yunkai. "
9,Margaery,Tyrell,,Female,Faith of the Seven,Alive,"Margaery Tyrell is a major character in the second, third, fourth and fifth seasons. She is played by Natalie Dormer and debuts in ""What is Dead May Never Die."" Queen Margaery Tyrell is the widow of King Renly Baratheon, a claimant to the Iron Throne in the War of the Five Kings. Her father Lord Mace Tyrell is the ruler of the Reach. She is betrothed to King Joffrey Baratheon after the Battle of Blackwater, and briefly becomes his queen, but this is cut short when Joffrey is fatally poisoned at their wedding feast. She has subsequently become betrothed to Joffrey's brother and successor, Tommen Baratheon. Margaery is known for her beauty, political cunning, and ambition, although she has a compassionate side. "
10,Ygritte,,Kissed by Fire,Female,Old Gods of the Forest,Deceased,"Ygritte is a major character in the third and fourth seasons, played by Rose Leslie. She initially appeared as a recurring character in the second season and debuted in ""The Old Gods and the New."" Ygritte is a woman of the Free Folk who lives north of the Wall. She is part of Mance Rayder's army. "
